"identity","player_team_name","goals"
Michel Platini,France,5
Marc Wilmots,Belgium,5
Lukas Podolski,Germany,5
Landon Donovan,United States,5
Kennet Andersson,Sweden,5
Juan Alberto Schiaffino,Uruguay,5
Jon Dahl Tomasson,Denmark,5
Johan Neeskens,Netherlands,5
Henrik Larsson,Sweden,5
Hans Krankl,Austria,5
Gyula Zsengell�r,Hungary,5
Gonzalo Higua�n,Argentina,5
Geoff Hurst,England,5
Garrincha,Brazil,5
Franz Beckenbauer,West Germany,5
Fernando Morientes,Spain,5
Fernando Hierro,Spain,5
Emilio Butrague�o,Spain,5
Edinson Cavani,Uruguay,5
Denis Cheryshev,Russia,5
Alessandro Altobelli,Italy,5
Zden?k Zik�n,Czechoslovakia,4
Valeriy Porkujan,Soviet Union,4
Tomas Brolin,Sweden,4
Telmo Zarra,Spain,4
S�crates,Brazil,4
R�bert Vittek,Slovakia,4
Robert Ballaman,Switzerland,4
Ren� Houseman,Argentina,4
Raymond Kopa,France,4
Ralf Edstr�m,Sweden,4
Preben Elkj�r,Denmark,4
Pauleta,Portugal,4
Paul Breitner,West Germany,4
Ottmar Walter,West Germany,4
Oliver Bierhoff,Germany,4
N�ndor Hidegkuti,Hungary,4
M�chel,Spain,4
Michael Owen,England,4
Martin Dahlin,Sweden,4
Marcelo Salas,Chile,4
Luis Hern�ndez,Mexico,4
Leopoldo Luque,Argentina,4
Leonel S�nchez,Chile,4
Kurt Hamrin,Sweden,4
Keisuke Honda,Japan,4
Kazimierz Deyna,Poland,4
Juli�n �lvarez,Argentina,4
Jorge Valdano,Argentina,4
Joe Jordan,Scotland,4
Javier Hern�ndez,Mexico,4
Jan Ceulemans,Belgium,4
Ihor Belanov,Soviet Union,4
Igor Chislenko,Soviet Union,4
Hern�n Crespo,Argentina,4
Gino Colaussi,Italy,4
Fl�ri�n Albert,Hungary,4
Florin R?ducioiu,Romania,4
Fernando Torres,Spain,4
Ferenc Pusk�s,Hungary,4
Ferenc Bene,Hungary,4
Estanislau Basora,Spain,4
Ernst Wilimowski,Poland,4
Edmund Conen,Germany,4
Dra�an Jerkovi?,Yugoslavia,4
Dominique Rocheteau,France,4
Daniel Bertoni,Argentina,4
Clint Dempsey,United States,4
Claudio Caniggia,Argentina,4
Chico,Brazil,4
Carlos Borges,Uruguay,4
Bobby Charlton,England,4
Bert Patenaude,United States,4
Antoine Griezmann,France,4
Angelo Schiavio,Italy,4
Andr� Abegglen,Switzerland,4
Andreas Brehme,West Germany,4
Anatoliy Byshovets,Soviet Union,4
Alcides Ghiggia,Uruguay,4
Ahmed Musa,Nigeria,4
Agne Simonsson,Sweden,4
�ngel Di Mar�a,Argentina,3
�lvaro Morata,Spain,3
Zolt�n Czibor,Hungary,3
Youssef En-Nesyri,Morocco,3
Yerry Mina,Colombia,3
Wolfgang Overath,West Germany,3
Walter Schachner,Austria,3
Wahbi Khazri,Tunisia,3
Tost�o,Brazil,3
Toni Kroos,Germany,3
Todor Veselinovi?,Yugoslavia,3
Theodor Wagner,Austria,3
Sven Jonasson,Sweden,3
Suat Mamat,Turkey,3
Stig Sundqvist,Sweden,3
Steven Gerrard,England,3
Samuel Eto'o,Cameroon,3
Sami Al-Jaber,Saudi Arabia,3
Salem Al-Dawsari,Saudi Arabia,3
R�nald G�mez,Costa Rica,3
Romeu,Brazil,3
Roger Piantoni,France,3
Roger Hunt,England,3
Roberto Dinamite,Brazil,3
Robert Prosine?ki,Yugoslavia,3
Robbie Keane,Republic of Ireland,3
Richarlison,Brazil,3
Raimundo Orsi,Italy,3
Rafael M�rquez,Mexico,3
Preguinho,Brazil,3
Pierre Littbarski,West Germany,3
Per�cio,Brazil,3
Peregrino Anselmo,Uruguay,3
Paulo Wanchope,Costa Rica,3
Papa Bouba Diop,Senegal,3
Oscar,Brazil,3
Oreste Corbatta,Argentina,3
Nico Claesen,Belgium,3
Nelson Cuevas,Paraguay,3
Nat Lofthouse,England,3
Mile Jedinak,Australia,3
Milan Gali?,Yugoslavia,3
Michael Ballack,Germany,3
Memphis Depay,Netherlands,3
Maxi Rodr�guez,Argentina,3
Marcus Rashford,England,3
Manuel Rosas,Mexico,3
L�szl� Kiss,Hungary,3
L�opold Anoul,Belgium,3
Lu�s Fabiano,Brazil,3
Luis Artime,Argentina,3
Leopold Kielholz,Switzerland,3
Karl-Erik Palm�r,Sweden,3
Karim Benzema,France,3
Jung-hwan Ahn,South Korea,3
Julio Salinas,Spain,3
Juan Hohberg,Uruguay,3
Jos� Torres,Portugal,3
Jos� Luis Caminero,Spain,3
Jos� Augusto,Portugal,3
Jorge Burruchaga,Argentina,3
Johan Cruyff,Netherlands,3
Ji-sung Park,South Korea,3
Jesper Olsen,Denmark,3
Jean Nicolas,France,3
Jacques Fatton,Switzerland,3
Ivan Bek,Yugoslavia,3
H�ctor Socorro,Cuba,3
Heung-min Son,South Korea,3
Harry Andersson,Sweden,3
G�za Toldi,Hungary,3
Gustav Wetterstr�m,Sweden,3
Gon�alo Ramos,Portugal,3
Giuseppe Meazza,Italy,3
Gigi Riva,Italy,3
Gianni Rivera,Italy,3
Gheorghe Hagi,Romania,3
Gerry Armstrong,Northern Ireland,3
Fritz Walter,West Germany,3
Falc�o,Brazil,3
Ernst Stojaspal,Austria,3
Ernie Brandts,Netherlands,3
Enzo Scifo,Belgium,3
Eduard Malofeyev,Soviet Union,3
Eden Hazard,Belgium,3
Du�an Bajevi?,Yugoslavia,3
Dragan Stojkovi?,Yugoslavia,3
Dirceu,Brazil,3
Diego Costa,Spain,3
Didi,Brazil,3
David Platt,England,3
David Beckham,England,3
Daniel Passarella,Argentina,3
C�sar Sampaio,Brazil,3
Cuauht�moc Blanco,Mexico,3
Cody Gakpo,Netherlands,3
Carlos Tevez,Argentina,3
Carlos Peucelle,Argentina,3
Burhan Sargun,Turkey,3
Bukayo Saka,England,3
Brian McBride,United States,3
Bernard Genghini,France,3
Baltazar,Brazil,3
Artem Dzyuba,Russia,3
Arne Nyberg,Sweden,3
Andr� Sch�rrle,Germany,3
Andr� Ayew,Ghana,3
Andrej Kramari?,Croatia,3
Andoni Goikoetxea,Spain,3
Amarildo,Brazil,3
Alfred K�rner,Austria,3
Aleksandar Mitrovi?,Serbia,3
Alain Giresse,France,3
Agust�n Delgado,Ecuador,3
Adolf Scherer,Czechoslovakia,3
?tefan Dobay,Romania,3
?lhan Mans?z,Turkey,3
�mit Davala,Turkey,2
�eljko ?ajkovski,Yugoslavia,2
�der,Brazil,2
Zizinho,Brazil,2
Young-gwon Kim,South Korea,2
Yordan Letchkov,Bulgaria,2
Yannick Stopyra,France,2
Xabi Alonso,Spain,2
Wout Weghorst,Netherlands,2
Wim Jonk,Netherlands,2
Wilfried Van Moer,Belgium,2
Wilfried Bony,Ivory Coast,2
W?odzimierz Smolarek,Poland,2
V�clav Hovorka,Czechoslovakia,2
Viorel Moldovan,Romania,2
Vincenzo Iaquinta,Italy,2
Vincent Aboubakar,Cameroon,2
Viktor Ponedelnik,Soviet Union,2
Trevor Francis,England,2
Tom� Rosick�,Czech Republic,2
Tom Finney,England,2
Tibor Nyilasi,Hungary,2
Tiago,Portugal,2
Thiago Silva,Brazil,2
Theodore Whitmore,Jamaica,2
Takashi Inui,Japan,2
Sune Andersson,Sweden,2
Sun-hong Hwang,South Korea,2
Sulley Muntari,Ghana,2
Stanislav Karasi,Yugoslavia,2
Slobodan Komljenovi?,Yugoslavia,2
Sini�a Mihajlovi?,Yugoslavia,2
Sim�o,Portugal,2
Silvestre Igoa,Spain,2
Shinji Okazaki,Japan,2
Shaun Bartlett,South Africa,2
Seung-zin Pak,North Korea,2
Sergio Ag�ero,Argentina,2
Serginho,Brazil,2
Santos Iriarte,Uruguay,2
Sang-chul Yoo,South Korea,2
Sami Khedira,Germany,2
Salaheddine Bassir,Morocco,2
Salah Assad,Algeria,2
Ruud Krol,Netherlands,2
Rub�n Marcos,Chile,2
Ronaldinho,Brazil,2
Ronald de Boer,Netherlands,2
Ron Flowers,England,2
Romeo Benetti,Italy,2
Roland Sandberg,Sweden,2
Robinho,Brazil,2
Roberto Caba�as,Paraguay,2
Roberto Boninsegna,Italy,2
Roberto Bettega,Italy,2
Robert Lewandowski,Poland,2
Ritsu D?an,Japan,2
Riccardo Carapellese,Italy,2
Ricardo Pel�ez,Mexico,2
Raoul Lambert,Belgium,2
Ram�n Calder�,Spain,2
Rafael Le�o,Portugal,2
P�ter Palot�s,Hungary,2
P�l Titkos,Hungary,2
Pinga,Brazil,2
Phillip Cocu,Netherlands,2
Philippe Coutinho,Brazil,2
Philippe Albert,Belgium,2
Pepe,Portugal,2
Paul Pogba,France,2
Patrick Vieira,France,2
Patrick M'Boma,Cameroon,2
Patrick Kluivert,Netherlands,2
Pablo Dorado,Uruguay,2
Omar Bravo,Mexico,2
Oliver Neuville,Germany,2
Oleh Blokhin,Soviet Union,2
Obdulio Varela,Uruguay,2
Nils Liedholm,Sweden,2
Niclas F�llkrug,Germany,2
Nelinho,Brazil,2
Nasko Sirakov,Bulgaria,2
M�rio Zagallo,Brazil,2
M�ller,Brazil,2
Myung-bo Hong,South Korea,2
Mohammed Kudus,Ghana,2
Mohamed Salah,Egypt,2
Moderato,Brazil,2
Milan Dvo?�k,Czechoslovakia,2
Mih�ly Lantos,Hungary,2
Michy Batshuayi,Belgium,2
Michal B�lek,Czechoslovakia,2
Michael Laudrup,Denmark,2
Mesut �zil,Germany,2
Mehdi Taremi,Iran,2
Mats Hummels,Germany,2
Maryan Wisnieski,France,2
Martin Peters,England,2
Marouane Fellaini,Belgium,2
Marius L?c?tu?,Romania,2
Mario G�tze,Germany,2
Marcos Rojo,Argentina,2
Marco Tardelli,Italy,2
Marco Materazzi,Italy,2
Marc Degryse,Belgium,2
Maniche,Portugal,2
L�szl� Fazekas,Hungary,2
Luka Modri?,Croatia,2
Luis Monti,Argentina,2
Luis Garc�a Postigo,Mexico,2
Luis Enrique,Spain,2
Luis Cubilla,Uruguay,2
Luca Toni,Italy,2
Lilian Thuram,France,2
Lefter K���kandonyadis,Turkey,2
Ladislav Petr�,Czechoslovakia,2
K�lm�n M�sz�ly,Hungary,2
Kosta Toma�evi?,Yugoslavia,2
Klaus Fischer,West Germany,2
Klaus Allofs,West Germany,2
Klaas-Jan Huntelaar,Netherlands,2
Kjetil Rekdal,Norway,2
Kevin De Bruyne,Belgium,2
Kenny Dalglish,Scotland,2
Karl Hohmann,Germany,2
Kalu Uche,Nigeria,2
Kai Havertz,Germany,2
J�zsef T�th,Hungary,2
J�nior,Brazil,2
Junichi Inamoto,Japan,2
Jung-soo Lee,South Korea,2
Julio C�sar Romero,Paraguay,2
Julio Abbadie,Uruguay,2
Julinho,Brazil,2
Juanito,Spain,2
Juan Fernando Quintero,Colombia,2
Juan Cuadrado,Colombia,2
Juan Bautista Ag�ero,Paraguay,2
Jos� Sas�a,Uruguay,2
Jos� Parodi,Paraguay,2
Jos� Iraragorri,Spain,2
Jos� Altafini,Brazil,2
Josimar,Brazil,2
Jorge Toro,Chile,2
Jorge Lino Romero,Paraguay,2
John Wark,Scotland,2
John Stones,England,2
Johann Horvath,Austria,2
Joachim Streich,East Germany,2
Jean-Pierre Papin,France,2
Jean Vincent,France,2
Jean Beausejour,Chile,2
Javier Valdivia,Mexico,2
Jared Borgetti,Mexico,2
Jan Vertonghen,Belgium,2
Jair,Brazil,2
Jaime Ram�rez,Chile,2
Jackson Mart�nez,Colombia,2
Ivor Broadis,England,2
Ivor Allchurch,Wales,2
Ivica �urjak,Yugoslavia,2
Ivica Oli?,Croatia,2
Islam Slimani,Algeria,2
Ilie Dumitrescu,Romania,2
H�ctor Yazalde,Argentina,2
H�ctor Castro,Uruguay,2
Hristo Bonev,Bulgaria,2
Henri Camara,Senegal,2
Heinz Flohe,West Germany,2
Hasse Jeppson,Sweden,2
Hasan ?a?,Turkey,2
G�bor P�l�skei,Hungary,2
Guillermo Subiabre,Chile,2
Granit Xhaka,Switzerland,2
Giovanni Ferrari,Italy,2
Giorgian de Arrascaeta,Uruguay,2
Giacomo Bulgarelli,Italy,2
Gervinho,Ivory Coast,2
Gabi Balint,Romania,2
Fuad Anwar,Saudi Arabia,2
Fred,Brazil,2
Fran�ois Omam-Biyik,Cameroon,2
Florencio Amarilla,Paraguay,2
Florea Dumitrache,Romania,2
Ferran Torres,Spain,2
Fernando Quirarte,Mexico,2
Fernandinho,Brazil,2
Erwin Vandenbergh,Belgium,2
Ernst Ocwirk,Austria,2
Ernst Lehner,Germany,2
Enzo Fern�ndez,Argentina,2
Emmanuel Sanon,Haiti,2
Emmanuel Petit,France,2
Emmanuel Amunike,Nigeria,2
Elano,Brazil,2
Eladio Rojas,Chile,2
Egisto Pandolfini,Italy,2
Dries Mertens,Belgium,2
Dino Baggio,Italy,2
Dieter M�ller,West Germany,2
Didier Six,France,2
Didier Drogba,Ivory Coast,2
Derek Kevan,England,2
Dennis Rommedahl,Denmark,2
Davor Jozi?,Yugoslavia,2
David Luiz,Brazil,2
Darko Pan?ev,Yugoslavia,2
Daniel Amokachi,Nigeria,2
Dan Petrescu,Romania,2
Daley Blind,Netherlands,2
Chung-yong Lee,South Korea,2
Chu-young Park,South Korea,2
Cho Gue-sung,South Korea,2
Carlos Vidal,Chile,2
Carlos Tenorio,Ecuador,2
Carles Puyol,Spain,2
Bryan Ruiz,Costa Rica,2
Bryan Robson,England,2
Bruno Fernandes,Portugal,2
Brian Laudrup,Denmark,2
Brett Holman,Australia,2
Breel Embolo,Switzerland,2
Blerim D�emaili,Switzerland,2
Billy Hamilton,Northern Ireland,2
Bernardo Red�n,Colombia,2
Bernard Voorhoof,Belgium,2
Benni McCarthy,South Africa,2
Bastian Schweinsteiger,Germany,2
Bartosz Bosacki,Poland,2
Atilio Cremaschi,Chile,2
Aruna Dindane,Ivory Coast,2
Ariel Ortega,Argentina,2
Arie Haan,Netherlands,2
Archie Gemmill,Scotland,2
Anton�n Pu?,Czechoslovakia,2
Anton�n Panenka,Czechoslovakia,2
Andr�s Iniesta,Spain,2
Andr� Maschinot,France,2
Andriy Shevchenko,Ukraine,2
Andreas Granqvist,Sweden,2
Anatoli Ilyin,Soviet Union,2
Alexis S�nchez,Chile,2
Alexander Frei,Switzerland,2
Alessandro Del Piero,Italy,2
Aleksandar Petakovi?,Yugoslavia,2
Alberto Garc�a Aspe,Mexico,2
Alberto Gallardo,Peru,2
Alan Shearer,England,2
Adriano,Brazil,2
Adrian Knup,Switzerland,2
Adolfo Zumelz�,Argentina,2
Adolfo Valencia,Colombia,2
Abdulrahman Fawzi,Egypt,2
Abderrazak Khairi,Morocco,2
Abdelmoumene Djabou,Algeria,2
Abdeljalil Hadda,Morocco,2
?or?e Vujadinovi?,Yugoslavia,2
�scar Duarte,Costa Rica,1
�ngel Cabrera,Uruguay,1
�mile Veinante,France,1
�lvaro Recoba,Uruguay,1
�lvaro Pereira,Uruguay,1
�dison M�ndez,Ecuador,1
Z� Roberto,Brazil,1
Zlatan Ljubijanki?,Slovenia,1
Zito,Brazil,1
Ziad Jaziri,Tunisia,1
Zdravko Rajkov,Yugoslavia,1
Zakaria Aboukhlal,Morocco,1
Yvon Douis,France,1
Yuya Osako,Japan,1
Yussuf Poulsen,Denmark,1
Yury Gazinsky,Russia,1
Yuri Gavrilov,Soviet Union,1
Yun-nam Ji,North Korea,1
Yousuf Al-Thunayan,Saudi Arabia,1
Youssef Chippo,Morocco,1
Youri Djorkaeff,France,1
Yeltsin Tejeda,Costa Rica,1
Yegor Titov,Russia,1
Yaya Tour�,Ivory Coast,1
Yasuhito End?,Japan,1
Yassine Meriah,Tunisia,1
Yasser Al-Qahtani,Saudi Arabia,1
Yann Sommer,Switzerland,1
Yakubu,Nigeria,1
Yahya Golmohammadi,Iran,1
Yacine Brahimi,Algeria,1
Wolfgang Weber,West Germany,1
Winston Reid,New Zealand,1
Winston Parks,Costa Rica,1
Wim Kieft,Netherlands,1
Wilson Oruma,Nigeria,1
Willy van de Kerkhof,Netherlands,1
Willy J�ggi,Switzerland,1
Wilhelm Hahnemann,Germany,1
Wilf Mannion,England,1
Wilbur Cush,Northern Ireland,1
Wesley Sonck,Belgium,1
Wayne Rooney,England,1
W?odzimierz Cio?ek,Poland,1
V�ctor Rangel,Mexico,1
V�ctor Esp�rrago,Uruguay,1
V�clav Ma�ek,Czechoslovakia,1
Vojislav Meli?,Yugoslavia,1
Vlastimil Kopeck�,Czechoslovakia,1
Vladislav Bogi?evi?,Yugoslavia,1
Vladimir Petrovi?,Yugoslavia,1
Vladimir Beschastnykh,Russia,1
Vitaly Khmelnitsky,Soviet Union,1
Vin�cius J�nior,Brazil,1
Vilmos Kohut,Hungary,1
Victor Moses,Nigeria,1
Victor Ikpeba,Nigeria,1
Vedad Ibi�evi?,Bosnia and Herzegovina,1
Vasyl Rats,Soviet Union,1
Vasilis Torosidis,Greece,1
Valter Birsa,Slovenia,1
Valeri Karpin,Russia,1
Valdomiro,Brazil,1
Uwe Reinders,West Germany,1
Uwe Bein,West Germany,1
Uli Hoene�,West Germany,1
Txiki Begiristain,Spain,1
Tranquillo Barnetta,Switzerland,1
Torsten Frings,Germany,1
Tore Keller,Sweden,1
Tore Andr� Flo,Norway,1
Toni Polster,Austria,1
Tom�s Fern�ndez,Cuba,1
Tom�s Balc�zar,Mexico,1
Tom Turesson,Sweden,1
Tom Florie,United States,1
Tom Boyd,Scotland,1
Todor Kolev,Bulgaria,1
Timothy Weah,United States,1
Tijani Babangida,Nigeria,1
Tihomir Ognjanov,Yugoslavia,1
Th�o Hernandez,France,1
Thomas Sj�berg,Sweden,1
Thomas Meunier,Belgium,1
Thomas Linke,Germany,1
Thomas Helveg,Denmark,1
Thiago Cionek,Poland,1
Theo de Jong,Netherlands,1
Te�filo Guti�rrez,Colombia,1
Terry Medwin,Wales,1
Tedj Bensaoula,Algeria,1
Teboho Mokoena,South Africa,1
Tarcisio Burgnich,Italy,1
Takuma Asano,Japan,1
Takayuki Suzuki,Japan,1
S�ren Lerby,Denmark,1
S�ndor Zombori,Hungary,1
Sven Jacobsson,Sweden,1
Sunday Oliseh,Nigeria,1
St�phane Demol,Belgium,1
St�phane Chapuisat,Switzerland,1
Stuart McCall,Scotland,1
Strahinja Pavlovi?,Serbia,1
Stjepan Bobek,Yugoslavia,1
Steven Zuber,Switzerland,1
Steve Wooddin,New Zealand,1
Steve Sumner,New Zealand,1
Steve Archibald,Scotland,1
Stephen Appiah,Ghana,1
Stefan de Vrij,Netherlands,1
Stefan Majewski,Poland,1
Stanislaus Kobierski,Germany,1
Stan Mortensen,England,1
Soon-ho Choi,South Korea,1
Sol Campbell,England,1
Sokratis Papastathopoulos,Greece,1
Sohrab Bakhtiarizadeh,Iran,1
Sofiane Feghouli,Algeria,1
Skander Souayah,Tunisia,1
Siyabonga Nomvethe,South Africa,1
Siphiwe Tshabalala,South Africa,1
Sinha,Mexico,1
Silviu Bindea,Romania,1
Silvestre Varela,Portugal,1
Sigfried Held,West Germany,1
Shunsuke Nakamura,Japan,1
Shinji Kagawa,Japan,1
Shane Smeltz,New Zealand,1
Seung-kook Yang,North Korea,1
Serhii Rebrov,Ukraine,1
Sergio Ahumada,Chile,1
Sergey Rodionov,Soviet Union,1
Sergej Milinkovi?-Savi?,Serbia,1
Sergei Ignashevich,Russia,1
Sergei Baltacha,Soviet Union,1
Sergei Aleinikov,Soviet Union,1
Serge Gnabry,Germany,1
Seok-ju Ha,South Korea,1
Sebastjan Cimiroti?,Slovenia,1
Sead Kola�inac,Bosnia and Herzegovina,1
Sa�a Ili?,Serbia and Montenegro,1
Sandro Mazzola,Italy,1
Samuel Umtiti,France,1
Samson Siasia,Nigeria,1
Sammy Baird,Scotland,1
Salomon Kalou,Ivory Coast,1
Salman Al-Faraj,Saudi Arabia,1
Salif Diao,Senegal,1
Saleh Al-Shehri,Saudi Arabia,1
Safet Su�i?,Yugoslavia,1
Saeed Al-Owairan,Saudi Arabia,1
Sadio Man�,Senegal,1
R�nald Gonz�lez Brenes,Costa Rica,1
R�ger Flores,Costa Rica,1
R�diger Abramczik,West Germany,1
Ruud van Nistelrooy,Netherlands,1
Ruud Gullit,Netherlands,1
Rui Costa,Portugal,1
Rudolf Noack,Germany,1
Rub�n Toribio D�az,Peru,1
Rub�n Ayala,Argentina,1
Rouzbeh Cheshmi,Iran,1
Roque Santa Cruz,Paraguay,1
Ronald Koeman,Netherlands,1
Romaric,Ivory Coast,1
Romain Sa�ss,Morocco,1
Rolf W�thrich,Switzerland,1
Roger Ljung,Sweden,1
Rodrigo Millar,Chile,1
Roberto Perfumo,Argentina,1
Roberto L�pez Ufarte,Spain,1
Roberto Gay�n,Mexico,1
Roberto Firmino,Brazil,1
Roberto Challe,Peru,1
Roberto Carlos,Brazil,1
Roberto Ayala,Argentina,1
Roberto,Brazil,1
Robert Koren,Slovenia,1
Robert Jarni,Croatia,1
Robbie Earle,Jamaica,1
Rio Ferdinand,England,1
Rildo,Brazil,1
Richard Morales,Uruguay,1
Richard Herrmann,West Germany,1
Ricardo Quaresma,Portugal,1
Ricardo Pavoni,Uruguay,1
Ricardo Horta,Portugal,1
Reza Ghoochannejhad,Iran,1
Ren�-Pierre Quentin,Switzerland,1
Ren� van de Kerkhof,Netherlands,1
Ren� Girard,France,1
Ren� Bader,Switzerland,1
Renato Zaccarelli,Italy,1
Renato Augusto,Brazil,1
Remo Freuler,Switzerland,1
Reinhold Hintermaier,Austria,1
Reinhard Libuda,West Germany,1
Reinaldo,Brazil,1
Ra�l Serv�n,Mexico,1
Ra�l C�rdenas,Mexico,1
Ra�,Brazil,1
Ray Houghton,Republic of Ireland,1
Raul Meireles,Portugal,1
Rashidi Yekini,Nigeria,1
Rapha�l Varane,France,1
Rapha�l Guerreiro,Portugal,1
Raouf Bouzaiene,Tunisia,1
Randal Kolo Muani,France,1
Ram�n Heredia,Argentina,1
Ram�n D�az,Argentina,1
Ramin Rezaeian,Iran,1
Ramaz Shengelia,Soviet Union,1
Rajko Miti?,Yugoslavia,1
Rainer Bonhof,West Germany,1
Raheem Sterling,England,1
Rafik Halliche,Algeria,1
Radivoje Ognjanovi?,Yugoslavia,1
Radhi Ja�di,Tunisia,1
Radamel Falcao,Colombia,1
Rabah Madjer,Algeria,1
Quinton Fortune,South Africa,1
P�l Teleki,Hungary,1
Predrag Mijatovi?,Yugoslavia,1
Plamen Getov,Bulgaria,1
Pirri,Spain,1
Piotr Zieli?ski,Poland,1
Pietro Ferraris,Italy,1
Pietro Anastasi,Italy,1
Pierre van Hooijdonk,Netherlands,1
Pierre Njanka,Cameroon,1
Pierre Issa,South Africa,1
Philippe Senderos,Switzerland,1
Philipp Lahm,Germany,1
Phil Foden,England,1
Petit,Portugal,1
Peter Van der Heyden,Belgium,1
Peter Odemwingie,Nigeria,1
Peter M�ller,Denmark,1
Peter Lorimer,Scotland,1
Peter Etebo,Nigeria,1
Peter Crouch,England,1
Peter Beardsley,England,1
Petar Radakovi?,Yugoslavia,1
Pedro Troglio,Argentina,1
Pedro Rocha,Uruguay,1
Pedro Pasculli,Argentina,1
Pedro Monz�n,Argentina,1
Pawe? Krysza?owicz,Poland,1
Pavel Yakovenko,Soviet Union,1
Paulinho,Brazil,1
Paul Scholes,England,1
Paul Mariner,England,1
Paul Caligiuri,United States,1
Patrick Vervoort,Belgium,1
Paolo Guerrero,Peru,1
Paolo Barison,Italy,1
Paik Seung-ho,South Korea,1
Pablo Bengoechea,Uruguay,1
Pablo Armero,Colombia,1
Ove Grahn,Sweden,1
Otto Siffling,Germany,1
Osvaldo Ardiles,Argentina,1
Osman Bukari,Ghana,1
Oscar Ruggeri,Argentina,1
Oscar Heisserer,France,1
Oribe Peralta,Mexico,1
Oleksandr Zavarov,Soviet Union,1
Oleh Protasov,Soviet Union,1
Ola Toivonen,Sweden,1
N�lton Santos,Brazil,1
N�jib Ghommidh,Tunisia,1
Nuno Gomes,Portugal,1
Norman Whiteside,Northern Ireland,1
Norberto Men�ndez,Argentina,1
Noel Valladares,Honduras,1
Nikola �igi?,Serbia and Montenegro,1
Niko Kova?,Croatia,1
Nikita Simonyan,Soviet Union,1
Niclas Alexandersson,Sweden,1
Nicklas Bendtner,Denmark,1
Niall Quinn,Republic of Ireland,1
Nayef Aguerd,Morocco,1
Nani,Portugal,1
Nahuel Molina,Argentina,1
Nacho,Spain,1
Nacer Chadli,Belgium,1
M�rton Esterh�zy,Hungary,1
M�rio Fernandes,Russia,1
M�rcio Santos,Brazil,1
Mutiu Adepoju,Nigeria,1
Mustapha Hadji,Morocco,1
Mustafa Ertan,Turkey,1
Moussa Wagu�,Senegal,1
Moussa Sissoko,France,1
Mordechai Spiegler,Israel,1
Mokhtar Dhouib,Tunisia,1
Mois�s Caicedo,Ecuador,1
Mohammed Salisu,Ghana,1
Mohammed Muntari,Qatar,1
Mohammed Chaouch,Morocco,1
Mohamed Kader,Togo,1
Mo Johnston,Scotland,1
Mitchell Duke,Australia,1
Mislav Or�i?,Croatia,1
Miralem Pjani?,Bosnia and Herzegovina,1
Milo� Milutinovi?,Yugoslavia,1
Milenko A?imovi?,Slovenia,1
Milan Rapai?,Croatia,1
Milan Luhov�,Czechoslovakia,1
